year,cCO2,atmosGrowthRate,E,F_land,F_LUC
1959,315.97,2.04,2.45,0.97,1.47
1960,316.91,1.51,2.57,1.59,1.46
1961,317.64,1.65,2.58,1.65,1.53
1962,318.45,1.19,2.69,2.15,1.52
1963,318.99,1.21,2.83,2.12,1.53
1964,319.62,1.04,3,2.19,1.52
1965,320.04,2.33,3.13,0.83,1.55
1966,321.38,2.33,3.29,1.01,1.55
1967,322.16,1.29,3.39,2.45,1.59
1968,323.04,2.1,3.57,1.78,1.55
1969,324.62,2.8,3.78,1.2,1.54
1970,325.68,2.4,4.05,1.98,1.53
1971,326.32,1.55,4.21,2.76,1.4
1972,327.45,3.12,4.38,0.98,1.33
1973,329.68,3.1,4.61,1.28,1.32
1974,330.18,1.44,4.62,2.98,1.29
1975,331.11,2.61,4.6,1.75,1.3
1976,332.04,2.06,4.86,2.48,1.32
1977,333.83,4.07,5.02,0.59,1.35
1978,335.4,2.73,5.07,1.92,1.3
1979,336.84,4.54,5.36,0.53,1.25
1980,338.75,3.63,5.3,1.15,1.24
1981,340.11,2.44,5.14,2.14,1.25
1982,341.45,2.12,5.09,2.31,1.26
1983,343.05,3.9,5.08,0.49,1.43
1984,344.65,2.63,5.26,2.11,1.46
1985,346.12,3.46,5.42,1.47,1.5
1986,347.42,2.18,5.58,2.89,1.53
1987,349.19,5.7,5.73,-0.48,1.51
1988,351.57,4.77,5.94,0.81,1.51
1989,353.12,2.93,6.07,2.7,1.53
1990,354.39,2.5,6.09,3,1.44
1991,355.61,1.55,6.17,4.12,1.64
1992,356.45,1.48,6.12,3.94,1.68
1993,357.1,2.59,6.12,2.67,1.55
1994,358.83,3.56,6.23,1.96,1.5
1995,360.82,4.13,6.32,1.57,1.49
1996,362.61,2.27,6.48,3.64,1.47
1997,363.73,4.2,6.57,2.41,2.18
1998,366.7,5.96,6.59,-0.16,1.54
1999,368.38,2.86,6.62,2.85,1.3
2000,369.55,2.63,6.79,3.26,1.2
2001,371.14,3.9,6.97,2.04,0.96
2002,373.28,5.05,7.07,0.83,1.07
2003,375.8,4.83,7.47,1.16,0.9
2004,377.52,3.31,7.85,3.31,1.04
2005,379.8,5.15,8.23,1.81,1.03
2006,381.9,3.75,8.53,3.41,1.09
2007,383.79,4.43,8.78,2.82,0.97
2008,385.6,3.77,8.96,3.38,0.67
2009,387.43,3.43,8.87,3.68,0.75
2010,389.9,5.17,9.21,2.43,0.88
2011,391.65,3.58,9.54,4.23,0.91
2012,393.85,4.98,9.69,2.93,0.97
2013,396.52,5.24,9.82,2.75,0.92
2014,398.65,4.22,9.89,3.88,1.1
2015,400.83,6.3,9.9,1.88,1.32
