c4,vmax_umol,smax,zkc_p,zko_p,rrkk_p,leaf_Tc,apar_umol,Ca_ppm,ptot,pO2m,PARalb,emis,nitratefac,rstfac1,effcon,btheta,hhti,hlti,respcp,atheta,shti,slti,trda,trdm,gradm,bintc
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,313,288,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,311,283,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,307,281,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,303,278,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,303,278,0.015,0.95,0.3,0.2,1.3,328,9,0.01
1,35.8,-1,-1,-1,1.9,25,1863,345.508,101300,21000,0.1,1,1,1,0.05,0.8,313,288,0.025,0.95,0.3,0.2,1.3,328,4,0.04
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,283,278,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,313,288,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,80,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,308,281,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,15,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,308,281,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,160,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,308,281,0.015,0.95,0.3,0.2,1.3,328,9,0.01
0,360,2,26,17900,-1,25,1863,345.508,101300,21000,0.1,1,1,1,0.08,0.98,308,281,0.015,0.95,0.3,0.2,1.3,328,9,0.01
1,21.5,-1,-1,-1,1.9,25,1863,345.508,101300,21000,0.1,1,1,1,0.05,0.8,317,288,0.025,0.95,0.15,0.2,1.3,328,4,0.04
