hour,Rnet,Bowen
0,-54.234,-3.7046
0.5,-54.688,18.734
1,-62.331,-39.56
1.5,-55.256,805.78
2,-55.18,40.406
2.5,-54.993,-8.9989
3,-54.769,19.033
3.5,-54.206,47.63
4,-54.547,29.499
4.5,-54.209,-6.4026
5,-54.286,-4.2448
5.5,-54.209,9.6008
6,-53.835,8.0314
6.5,-25.675,-0.11148
7,1.581,0.25464
7.5,36.999,0.19529
8,108.56,0.27698
8.5,173.84,0.31284
9,242.59,0.23645
9.5,306.8,0.37895
10,373.83,0.41031
10.5,468.82,0.37851
11,537.43,0.37323
11.5,590.63,0.35792
12,605.17,0.31679
12.5,629.13,0.38099
13,627.57,0.37832
13.5,631.94,0.38078
14,566.12,0.23522
14.5,555.92,0.17203
15,487.7,0.19776
15.5,443.6,0.11832
16,362.23,0.09021
16.5,297.42,0.02963
17,222.51,0.004433
17.5,142.43,-0.057132
18,68.135,-0.14088
18.5,7.592,-0.22686
19,-27.738,-0.23586
19.5,-54.317,-1.54
20,-59.441,-3.487
20.5,-54.152,-6.5236
21,-54.162,-6.5559
21.5,-54.171,-10.638
22,-54.104,-12.401
22.5,-54.185,15.791
23,-54.188,-7.8299
23.5,-54.191,-26.974
